observation_date,ROWTSEA027N
1945-01-01,2574
1946-01-01,2100
1947-01-01,2700
1948-01-01,2800
1949-01-01,2900
1950-01-01,4300
1951-01-01,4278
1952-01-01,4468
1953-01-01,5035
1954-01-01,5466
1955-01-01,5803
1956-01-01,6089
1957-01-01,5930
1958-01-01,6035
1959-01-01,10360
1960-01-01,10651
1961-01-01,11035
1962-01-01,12379
1963-01-01,13033
1964-01-01,13321
1965-01-01,13056
1966-01-01,11152
1967-01-01,13239
1968-01-01,12577
1969-01-01,10240
1970-01-01,19732
1971-01-01,46286
1972-01-01,54460
1973-01-01,54303
1974-01-01,58270
1975-01-01,65518
1976-01-01,77583
1977-01-01,108654
1978-01-01,132901
1979-01-01,115958
1980-01-01,127449
1981-01-01,135509
1982-01-01,150687
1983-01-01,163562
1984-01-01,200289
1985-01-01,226392
1986-01-01,269388
1987-01-01,296301
1988-01-01,353839
1989-01-01,423742
1990-01-01,438363
1991-01-01,476289
1992-01-01,520339
1993-01-01,594551
1994-01-01,632571
1995-01-01,816947
1996-01-01,1040330
1997-01-01,1153213
1998-01-01,1166244
1999-01-01,1058365
2000-01-01,1021426
2001-01-01,1095208
2002-01-01,1285498
2003-01-01,1513524
2004-01-01,1813553
2005-01-01,1984391
2006-01-01,2126178
2007-01-01,2376442
2008-01-01,3252974
2009-01-01,3670597
2010-01-01,4458824
2011-01-01,5004354
2012-01-01,5571482
2013-01-01,5792616
2014-01-01,6157966
2015-01-01,6146221
2016-01-01,6002797
2017-01-01,6211279
2018-01-01,6270130
2019-01-01,6917822
2020-01-01,7291566
2021-01-01,7740370
2022-01-01,7194684
2023-01-01,7940008
2024-01-01,8558360
