observation_date,IIPUSNETIA
1976-01-01,80539
1977-01-01,98585
1978-01-01,128273
1979-01-01,232250
1980-01-01,296862
1981-01-01,226992
1982-01-01,238366
1983-01-01,261494
1984-01-01,140140
1985-01-01,104281
1986-01-01,109232
1987-01-01,59616
1988-01-01,21479
1989-01-01,-33713
1990-01-01,-149523
1991-01-01,-243314
1992-01-01,-432129
1993-01-01,-121772
1994-01-01,-110311
1995-01-01,-277567
1996-01-01,-328306
1997-01-01,-788225
1998-01-01,-1033775
1999-01-01,-1002268
2000-01-01,-1536248
2001-01-01,-2294467
2002-01-01,-2410363
2003-01-01,-2292395
2004-01-01,-2362767
2005-01-01,-1857226
2006-01-01,-1807819
2007-01-01,-1278830
2008-01-01,-3994625
2009-01-01,-2626940
2010-01-01,-2511072
2011-01-01,-4454616
2012-01-01,-4569528
2013-01-01,-5443587
2014-01-01,-7021188
2015-01-01,-7590470
2016-01-01,-8258387
2017-01-01,-7830723
2018-01-01,-9795821
2019-01-01,-11666440
2020-01-01,-14721004
2021-01-01,-18832520
2022-01-01,-16161430
2023-01-01,-20416524
2024-01-01,-26539470
